"Region","Year","Age Range","Alcohol Use","Measure Type","Variable","Value"
"North Central Region","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",11.77
"North Central Region","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.8
"North Central Region","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.61
"North Central Region","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",4.79
"North Central Region","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"North Central Region","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"North Central Region","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.57
"North Central Region","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.57
"North Central Region","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",65.95
"North Central Region","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",3.35
"North Central Region","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"North Central Region","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"North Central Region","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.92
"North Central Region","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.62
"North Central Region","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",66
"North Central Region","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",3.62
"North Central Region","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"North Central Region","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Northeast","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.88
"Northeast","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.21
"Northeast","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.53
"Northeast","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.37
"Northeast","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",18.7
"Northeast","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",0.65
"Northeast","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",11.31
"Northeast","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.54
"Northeast","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",7.35
"Northeast","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.45
"Northeast","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",17.64
"Northeast","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.67
"Northeast","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.96
"Northeast","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",0.88
"Northeast","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",46.05
"Northeast","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.86
"Northeast","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.33
"Northeast","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.24
"Northeast","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.35
"Northeast","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.33
"Northeast","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",59.57
"Northeast","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",0.88
"Northeast","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.28
"Northeast","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.62
"Northeast","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.68
"Northeast","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.26
"Northeast","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.67
"Northeast","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.36
"Northeast","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",58.53
"Northeast","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",0.99
"Northeast","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",21.9
"Northeast","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.7
"Northeast","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.82
"Northeast","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.19
"Northeast","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.02
"Northeast","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.34
"Northeast","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",17.88
"Northeast","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",0.64
"Northeast","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",10.92
"Northeast","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.53
"Northeast","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",7.49
"Northeast","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.45
"Northeast","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",17.57
"Northeast","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.7
"Northeast","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",66.71
"Northeast","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",0.93
"Northeast","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",45.75
"Northeast","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.89
"Northeast","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.55
"Northeast","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.23
"Northeast","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.47
"Northeast","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.33
"Northeast","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",60.22
"Northeast","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",0.78
"Northeast","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.82
"Northeast","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.63
"Northeast","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.9
"Northeast","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.25
"Northeast","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.78
"Northeast","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.36
"Northeast","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",59.14
"Northeast","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",0.88
"Northeast","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.5
"Northeast","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.71
"Northeast","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.9
"Northeast","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.19
"Northeast","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",4.71
"Northeast","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.34
"Northeast","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",16.36
"Northeast","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",0.62
"Northeast","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",9.64
"Northeast","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.51
"Northeast","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",7.27
"Northeast","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.45
"Northeast","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",17.34
"Northeast","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.74
"Northeast","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",67.07
"Northeast","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",1.15
"Northeast","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",45.17
"Northeast","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.92
"Northeast","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.64
"Northeast","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.25
"Northeast","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.53
"Northeast","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.34
"Northeast","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",60.81
"Northeast","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",0.95
"Northeast","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",26.35
"Northeast","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.64
"Northeast","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.03
"Northeast","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.28
"Northeast","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.88
"Northeast","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.38
"Northeast","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",59.76
"Northeast","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",1.03
"Northeast","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.19
"Northeast","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.73
"Northeast","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.46
"Northeast","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.16
"Northeast","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",4.13
"Northeast","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.31
"Northeast","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",15.86
"Northeast","2010-2012","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",0.63
"Northeast","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",8.51
"Northeast","2010-2012","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.43
"Northeast","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.45
"Northeast","2010-2012","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.43
"Northeast","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",15.24
"Northeast","2010-2012","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.62
"Northeast","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",66.2
"Northeast","2010-2012","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",0.83
"Northeast","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",44.82
"Northeast","2010-2012","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.97
"Northeast","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.35
"Northeast","2010-2012","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.24
"Northeast","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.29
"Northeast","2010-2012","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.37
"Northeast","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",61.49
"Northeast","2010-2012","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",0.76
"Northeast","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",26.23
"Northeast","2010-2012","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.69
"Northeast","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.83
"Northeast","2010-2012","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.26
"Northeast","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.95
"Northeast","2010-2012","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.4
"Northeast","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",60.7
"Northeast","2010-2012","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",0.88
"Northeast","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.12
"Northeast","2010-2012","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.76
"Northeast","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.12
"Northeast","2012-2014","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.14
"Northeast","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",3.1
"Northeast","2012-2014","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.26
"Northeast","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",13.82
"Northeast","2012-2014","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",0.61
"Northeast","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",7.4
"Northeast","2012-2014","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.45
"Northeast","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",5.78
"Northeast","2012-2014","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.41
"Northeast","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",13.59
"Northeast","2012-2014","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.62
"Northeast","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",64.33
"Northeast","2012-2014","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",0.92
"Northeast","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",42.25
"Northeast","2012-2014","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.92
"Northeast","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.32
"Northeast","2012-2014","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.21
"Northeast","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",7.04
"Northeast","2012-2014","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.31
"Northeast","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",62.01
"Northeast","2012-2014","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",0.74
"Northeast","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",25.76
"Northeast","2012-2014","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.63
"Northeast","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.91
"Northeast","2012-2014","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.23
"Northeast","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.95
"Northeast","2012-2014","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.35
"Northeast","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",61.63
"Northeast","2012-2014","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",0.84
"Northeast","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.02
"Northeast","2012-2014","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",0.7
"Northeast","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Northeast","2014-2016","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Northeast","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",2.46
"Northeast","2014-2016","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.24
"Northeast","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",11.77
"Northeast","2014-2016","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",0.61
"Northeast","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Northeast","2014-2016","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Northeast","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Northeast","2014-2016","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Northeast","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",11.96
"Northeast","2014-2016","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.6
"Northeast","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",63.74
"Northeast","2014-2016","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",1
"Northeast","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Northeast","2014-2016","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Northeast","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Northeast","2014-2016","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Northeast","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.55
"Northeast","2014-2016","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.3
"Northeast","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",60.79
"Northeast","2014-2016","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",0.7
"Northeast","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Northeast","2014-2016","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Northeast","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",-6666
"Northeast","2014-2016","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",-6666
"Northeast","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.67
"Northeast","2014-2016","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.33
"Northeast","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",60.31
"Northeast","2014-2016","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",0.78
"Northeast","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",-6666
"Northeast","2014-2016","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",-6666
"Northwestern Region","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.91
"Northwestern Region","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.88
"Northwestern Region","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.05
"Northwestern Region","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2
"Northwestern Region","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",24.21
"Northwestern Region","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",4.32
"Northwestern Region","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",13.99
"Northwestern Region","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.02
"Northwestern Region","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.98
"Northwestern Region","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.76
"Northwestern Region","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",26.42
"Northwestern Region","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",4.75
"Northwestern Region","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",70.74
"Northwestern Region","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",5.07
"Northwestern Region","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",53.85
"Northwestern Region","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",5.41
"Northwestern Region","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.43
"Northwestern Region","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.06
"Northwestern Region","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.72
"Northwestern Region","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.88
"Northwestern Region","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",64.77
"Northwestern Region","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",5.43
"Northwestern Region","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",28.18
"Northwestern Region","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.97
"Northwestern Region","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.66
"Northwestern Region","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.11
"Northwestern Region","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.27
"Northwestern Region","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.96
"Northwestern Region","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",-9999
"Northwestern Region","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",-9999
"Northwestern Region","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",24.64
"Northwestern Region","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",4.25
"Northwestern Region","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.45
"Northwestern Region","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.84
"Northwestern Region","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.74
"Northwestern Region","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.86
"Northwestern Region","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",18.38
"Northwestern Region","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",3.43
"Northwestern Region","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",13.28
"Northwestern Region","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.97
"Northwestern Region","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",7.94
"Northwestern Region","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",2.31
"Northwestern Region","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",22.1
"Northwestern Region","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",4.22
"Northwestern Region","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",66.28
"Northwestern Region","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",5.07
"Northwestern Region","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",44.55
"Northwestern Region","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",5.49
"Northwestern Region","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.53
"Northwestern Region","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.97
"Northwestern Region","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.31
"Northwestern Region","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.56
"Northwestern Region","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",62.43
"Northwestern Region","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",4.45
"Northwestern Region","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",24.85
"Northwestern Region","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.29
"Northwestern Region","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.9
"Northwestern Region","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.97
"Northwestern Region","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.34
"Northwestern Region","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.5
"Northwestern Region","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",61.87
"Northwestern Region","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",4.81
"Northwestern Region","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",22.03
"Northwestern Region","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",3.43
"Northwestern Region","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.92
"Northwestern Region","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.77
